"1,000 Venture Capital Firms",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,VC Firm,Website,Countries,Cities,Industries,Stages,Founded Year,Name of Founders,# of Investments,# of Exits,Min Check Size,Max Check Size,Funds Raised,Contact Information
,Cortado Ventures,https://cortado.ventures/,USA,Oklahoma City,"Fintech, Biotech, Aerospace & Space, Supply Chain & Logistics, InsurTech, Climate & Sustainability, Enterprise, Energy, Agriculture","Series A, Seed, Pre-Seed",2020,"David Woods, Mike Moradi, Nathaniel Harding",32,0,"$200,000","$500,000","$20,000,000",investors@cortado.ventures
,Costanoa Ventures,https://costanoavc.com,USA,"Palo Alto, San Francisco","Fintech, AI & ML, SaaS, Future of Work, Devops","Early Stage, Seed, Series A",2012,Greg Sands,164,20,"$2,000,000","$5,000,000","$890,000,000",info@costanoavc.com
,Cota Capital,https://cotacapital.com,USA,San Francisco,"Media, Hardware, Internet & Mobile, SaaS","Seed, Early Stage, Late Stage",2015,"Babak Poushanchi, Bobby Yazdani",184,37,,,"$34,000,000",ir@cotacapital.com
,CoVenture,https://coventure.vc,USA,Miami,"E-Commerce, Media, Entertainment, DTC, SaaS",Early Stage,2014,Ali Hamed,56,16,"$25,000","$200,000",,info@coventure.vc
,CPT Capital,https://cptcap.com/,United Kingdom,London,"Biotech, Food & Beverage",Pre-Seed,2013,Jeremy Coller,49,,,,,contact@cptcap.com
,Cradle Fund,https://cradle.com.my,Malaysia,Kuala Lumpur,"Fintech, IoT, Internet & Mobile, Supply Chain & Logistics, Media, Automation, Cybersecurity, Travel & Hospitality, Future of Work, SaaS",Early Stage,2003,"Norman Matthieu Vanhaecke, Juliana Jan, Ahmad Kashfi, Eliza Elias, Harmender Singh",36,2,"RM 100,000","RM 1,000,000",,enquiries@cradle.com.my
,Craft Ventures,https://craftventures.com,USA,San Francisco,"SaaS, Marketplace, Enterprise",Series A,2017,David Sacks,259,22,,,"$1,100,000,000",jessica@craftventures.com
,CRE Venture Capital,https://cre.vc,USA,New York,"Supply Chain & Logistics, Fintech, Marketplace, Healthcare",Early Stage,2015,Pardon Makumbe,58,5,,,"$11,000,000",info@cre.vc
,Creandum,https://creandum.com,"United Kingdom, USA, Germany, Sweden","Stockholm, Berlin, London, San Francisco","Creator Economy, Crypto & Blockchain, Climate & Sustainability",Early Stage,2003,Staffan Helgesson,234,59,,,"$500,000,000",info@creandum.com
,Creathor,https://www.creathor.com/,"Germany, Switzerland","Bad Homburg, Zürich, Meilen","Automation, Industrial, Healthcare, Cloud, SaaS","Early Stage, Late Stage, Seed",2003,Gert Kohler,220,7,,,"$250,000,000",creathor@creathor.com
,Credo Ventures,https://credoventures.com,Czechia,"Prague, San Francisco","Healthcare, Internet & Mobile, Enterprise, Developer Tools","Early Stage, Seed, Series A, Series B",2009,Ondrej Bartos,53,11,"€50,000","€10,000,000","€170,000,000",info@credoventures.com
,Crosscut Ventures,https://crosscutventures.com,USA,Los Angeles,"Transportation, Social, Proptech & Real Estate, Media, Entertainment, Internet & Mobile, Health & Wellness, Gaming, Enterprise, E-Commerce, Crypto & Blockchain, Consumer, Sports, Advertising","Seed, Early Stage, Late Stage",2008,"Rick Smith, Brian Garrett, Brett Brewer",145,24,"$1,000,000","$3,500,000","$221,000,000",info@crosscut.vc
,Crosslink Capital,https://crosslinkcapital.com,USA,San Francisco,"Consumer, Enterprise, Cloud, Automation, AI & ML, Deep Tech & Hard Science","Seed, Early Stage",1989,"Michael Stark, Sy Kaufman",432,98,"$1,000,000","$9,000,000","$1,300,000,000",info@crosslinkcapital.com
,Crowberry Capital,https://crowberrycapital.com,Iceland,Reykjavík,"Enterprise, Big Data & Analytics, SaaS, Healthcare, AI & ML, DTC, Crypto & Blockchain, Cloud","Early Stage, Seed",2017,"Hekla Arnardóttir, Helga Valfells, Jenny Ruth Hrafnsdottir",18,1,,"$2,000,000","$90,000,000",hello@crowberrycapital.com
,Cultivation Capital,https://cultivationcapital.com,USA,"Greenville, St. Louis","Fintech, Healthcare, Life Sciences, Agriculture, SaaS","Early Stage, Seed, Growth",2012,"Matt Badler, Mark Bakken",216,30,"$100,000","$3,500,000","$25,500,000",info@cultivationcapital.com
,Cultivian Sandbox Ventures,https://cultiviansbx.com,USA,Chicago,"Climate & Sustainability, Biotech, AI & ML, Robotics, Automation, Manufacturing, Agriculture, SaaS",Early Stage,2008,"Amanda Donohue-Hansen, Steve Engelberg, Taryn Goodman Gallery, Ron Meeusen, Dan Phillips",40,8,"$1,000,000","$10,000,000","$248,000,000",contactus@cultiviansbx.com
,Cure Kids Ventures,https://curekidsventures.co.nz/,New Zealand,Auckland,"Healthcare, Health & Wellness","Early Stage, Seed",2008,,22,4,,,,info@curekidsventures.co.nz
,CV VC,https://cvvc.com,"Switzerland, Colombia, Lithuania","Cape Town, Zug, Vaduz",Crypto & Blockchain,"Seed, Early Stage",2018,Mathias Ruch,49,6,,,"$3,500,000",+41 41 7250880
,Cyber Agent Capital,https://www.cyberagentcapital.com/,"China, South Korea, Thailand, Japan, USA, Taiwan, Vietnam, Indonesia","Beijing, Jakarta, Shanghai, Shenzhen, San Francisco, Seoul, Tokyo, Bangkok, Taipei, Ho Chi Minh City","Fintech, Entertainment, SaaS, AI & ML, Education, AR & VR, Consumer, Proptech & Real Estate, DTC, IoT, Healthcare, Marketplace","Seed, Early Stage",2006,Hirofumi Kondo,249,40,,,"$185,800,000",cac_public@ext.cyberagent.co.jp
,Cycle Capital,https://cyclecapital.com,Canada,"Montréal, Toronto","Climate & Sustainability, Energy, Industrial, Agriculture, IoT","Seed, Early Stage, Growth",2005,Andrée-Lise Méthot,63,2,"$1,500,000","$3,000,000","$657,100,000",amethot@cyclecapital.net
,Czysta3,https://czysta3.vc/,Poland,Sleza,"IoT, Fintech, Internet & Mobile, Cloud, E-Commerce","Seed, Pre-Seed",2018,Radek Tadajewski,24,1,,"€1,000,000","€50,000,000",hello@czysta3.vc
,DAAL Ventures,https://daal.ventures/,Saudi Arabia,Al Khobar,"Marketplace, Fintech, SaaS, AI & ML, DTC, Big Data & Analytics, IoT",Early Stage,2018,Abdulrahman Alqahtani,16,3,,,,Info@daal.io
,DAG Ventures,https://dagventures.com,USA,Palo Alto,"Internet & Mobile, SaaS, Enterprise, Cybersecurity","Early Stage, Growth",2004,Tom Goodrich,256,101,"$10,000,000","$100,000,000","$1,300,000,000",info@dagventures.com
,Dalus Capital,https://daluscapital.com,Mexico,Mexico City,"Enterprise, Fintech, Education, Proptech & Real Estate, Healthcare, Productivity, Consumer, Climate & Sustainability, SaaS","Seed, Series A, Series B",2015,"Diego Serebrisky, Rogelio De Los Santos",41,7,"$500,000","$6,000,000","$50,000,000",info@daluscapital.com
,Damgaard Company,https://www.damgaard.com/,Denmark,Copenhagen,"SaaS, Enterprise, Marketplace, AI & ML, Cloud","Early Stage, Seed",2003,Preben Damgaard,19,10,,,,info@damgaard.com
,DAOL Investment,http://daolinvestment.com/,"South Korea, USA, China","Sŏngnam, Palo Alto, Shanghai","Entertainment, Media, Creator Economy, Internet & Mobile, Industrial, Biotech, Healthcare, Consumer, Crypto & Blockchain, SaaS","Early Stage, Late Stage, Seed",1981,Shin Jin Ho,2,1,,,"$37,000,000",webmaster@daolinvestment.com
,Darling Ventures,https://darlingventures.com,USA,San Francisco,"Big Data & Analytics, Automation, Crypto & Blockchain","Pre-Seed, Seed",2013,Daniel Darling,32,3,,"$500,000",,contact@darlingventures.com
,Data Collective,https://www.dcvc.com/,USA,"Palo Alto, San Francisco","Climate & Sustainability, Crypto & Blockchain, Cybersecurity, Aerospace & Space, AI & ML, Deep Tech & Hard Science, Enterprise, Healthcare, Industrial, Agriculture","Seed, Series A",2011,"Matt Ocko, Zack Bogue",469,135,,,"$725,000,000",
,Day One Ventures,https://dayoneventures.com,USA,San Francisco,"Crypto & Blockchain, Food & Beverage, Productivity, Legal, Human Resources","Pre-Seed, Seed, Series A",2017,Masha Bucher,65,13,"$100,000","$5,000,000","$72,600,000",pitch@dayoneventures.com
,DC Ventures,http://www.dcventures.vc/,"USA, Ireland, Argentina","Washington, Dublin, Buenos Aires","Fintech, E-Commerce, Media, IoT, Food & Beverage, Gaming, Social","Seed, Pre-Seed",2012,"Emily Sarah Hersh, Jonathan Rivas, Kyran Culhane",12,2,"$10,000","$100,000","$1,000,000",
,DCM,https://www.dcm.com/,"USA, China, Japan","Beijing, Tokyo, San Francisco","Internet & Mobile, Consumer, Social, Gaming, SaaS","Seed, Early Stage, Series A",1996,"David Chao, Dixon Doll,",400,56,"$500,000","$2,000,000","$25,000,000,000",businessplan@dcm.com
,Deeptech Ventures,https://deeptechventures.io,Switzerland,Zürich,"Deep Tech & Hard Science, Crypto & Blockchain",Early Stage,2017,Alexander Christen,27,1,,"$4,000,000",,
,Delta Partners ireland,https://www.deltapartners.com/,"Ireland, United Kingdom","Dublin, London","Healthcare, Internet & Mobile","Seed, Early Stage, Series A",1994,Maurice Roche,46,20,"€100,000","€3,000,000","€230,000,000",info@deltapartners.com
,DH Ventures,https://dhventures.vc/,"Singapore, Germany","Singapore, Berlin","E-Commerce, DTC, Marketplace, Industrial, Internet & Mobile, Food & Beverage, Consumer, Supply Chain & Logistics, Fintech","Seed, Early Stage, Late Stage",2021,Brendon Blacker,29,2,,,"$20,000,000",info@dhventures.vc
,Digevo Ventures,https://digevoventures.com,Chile,Las Condes,"AI & ML, Internet & Mobile, Gaming, Education, SaaS, Healthcare",Early Stage,2008,"Roberto Musso, Rodolfo Soria-Galvarro, Alfonso Cadiz, Rodrigo Musalemcarla Bustamante,",23,,,,,hello@digevoventures.com
,Digital Sky Technologies,https://dst-global.com/,"USA, United Kingdom, China","London, New York, Hong Kong, Beijing, San Francisco","Internet & Mobile, Productivity, Social, Enterprise, Fintech, SaaS","Late Stage, Series C",2009,"Yuri Milner, Saurabh Gupta, John Lindfors, Rahul Mehta, Tom Stafford",239,36,"$10,000,000","$100,000,000","$688,000,000",info@dst-global.com
,DILA Capital,https://dilacapital.com,Mexico,Mexico City,"Media, Productivity, Education, E-Commerce, Fintech, Internet & Mobile, Marketplace","Early Stage, Series A",2011,Alejandro Diez Barroso,35,2,,,"$85,000,000",info@dilacapital.com
,District Venture Capital,https://www.districtventurescapital.com/,"Canada, USA","Toronto, Calgary","Food & Beverage, Health & Wellness",Early Stage,2016,Arlene Dickinson,20,,"$2,000,000","$10,000,000","$100,000,000",contact@districtventurescapital.com
,DN Capital,https://dncapital.com,USA,San Mateo,"Fintech, SaaS, Media, E-Commerce, Marketplace, Internet & Mobile","Seed, Series A, Early Stage, Growth",2000,"Nenad Marovac, Steve Schlenker",264,58,,"$20,000,000","$844,000,000",info@dncapital.com
,Domain Associates,https://domainvc.com,USA,Jersey City,"Life Sciences, Healthcare",Early Stage,1985,Jesse Treu,470,281,,,"$1,200,000,000",contact@domainvc.com
,Downing Ventures,https://downingventures.com,United Kingdom,London,"Healthcare, Deep Tech & Hard Science, Enterprise","Early Stage, Growth",1986,Gideon Shmuel,203,51,,,"£10,000,000",
,Draper Cygnus,https://drapercygnus.vc,Argentina,Buenos Aires,"Deep Tech & Hard Science, Biotech, Aerospace & Space, IoT, AI & ML","Seed, Early Stage, Series A",2020,"Diego Gonzalez Bravo, Diego Steverlynck, Ignacio Plaza, Tim Draper",29,3,,,,info@cygnusvc.com
,Draper VC,https://draper.vc,USA,Silicon Valley,"Government Technology, Life Sciences, Biotech, Food & Beverage, Crypto & Blockchain, Education, Energy, Fintech, Healthcare, Mobility, Legal, Aerospace & Space",Seed,1985,Tim Draper,406,123,,,"$230,000,000",plans@draper.vc
,DreamIt Ventures,https://dreamit.com,USA,"Philadelphia, New York","Healthcare, Cybersecurity, Life Sciences, Hardware & Industrials","Seed, Early Stage",2008,"Steve Welch, David Bookspan",528,205,"$500,000",,"$54,800,000",
,Drive Capital,https://drivecapital.com,USA,Columbus,"Robotics, Future of Work, Education, AI & ML, Healthcare, Fintech, Cybersecurity","Early Stage, Late Stage",2012,Christopher Olsen,115,17,,,"$650,000,000",
,DSC Investment,http://dscinvestment.com/vol2/eng/,South Korea,Seoul,"Consumer, AI & ML, Fintech, Hardware & Industrials, Biotech, Health & Wellness",Seed,2012,Yoon Gun-Soo,53,4,,,"$150,000,000",+82 2-3453-3190
,Dune Ventures,https://dune.ventures/,USA,New York,Gaming,"Seed, Series A",2020,David Brillembourg Jr.,19,1,,,"$450,000,000",info@dune.ventures
,Dutch Founders Fund,https://dutchfoundersfund.com,Netherlands,Amsterdam,"Media, Biotech, Enterprise, Fintech, SaaS, Supply Chain & Logistics, Healthcare, Education, Climate & Sustainability, Marketplace, Crypto & Blockchain","Early Stage, Pre-Seed, Seed, Series A",2019,Hidde Hoogcarspel,29,3,,,"€62,000,000",basrieter@dutchfoundersfund.com
,Earlybird Venture Capital,https://earlybird.com,Germany,"Berlin, Munich","Biotech, Crypto & Blockchain, Cybersecurity, E-Commerce, Education, Enterprise, Productivity, Fintech, Gaming, IoT, Healthcare, Supply Chain & Logistics, AI & ML, Marketplace, Media, Proptech & Real Estate, Travel & Hospitality, DTC, Robotics, Transportation, Legal, SaaS","Early Stage, Late Stage, Seed",1997,"Benjamin Wilkening, Cem Sertoglu, Christian Nagel, Hendrik Brandis, Roland Manger, Rolf Mathies",158,42,"€200,000","€15,000,000","€2,000,000,000",info@earlybird.com
,East Ventures,https://east.vc,"Singapore, Indonesia, Japan","Singapore, Jakarta, Tokyo","AI & ML, Cybersecurity, E-Commerce, Fintech, Health & Wellness, Supply Chain & Logistics, DTC, Education, Agriculture","Seed, Growth",2009,"Batara Eto, Taiga Matsuyama, Willson Cuaca",514,49,,,"$1,100,000,000",info@east.vc
,EchoVC Partners,https://echovc.com,"Nigeria, Kenya, United Kingdom","Lagos, Nairobi, London","Fintech, DTC, Media, Entertainment, Transportation, Energy","Seed, Early Stage",2011,Eghosa Omoigui,41,7,"$50,000","$20,000,000","$41,000,000",founders@echovc.com
,Eclipse Ventures,https://eclipse.vc/,USA,Palo Alto,"Proptech & Real Estate, Consumer, Healthcare, Industrial, Supply Chain & Logistics, Transportation, Aerospace & Space, Manufacturing, Infrastructure, Energy",Early Stage,2015,Lior Susan,120,18,"$3,000,000","$4,000,000","$510,000,000",admin@eclipse.vc
,EduCapital,https://educapital.fr,France,Paris,Education,"Late Stage, Series B, Seed, Series A",2017,Marie-Christine Levet,24,2,"€10,000,000","€50,000,000","€145,000,000",contact@educapital.fr
,Edventures,https://nmedventures.com/,Egypt,Giza,Education,"Early Stage, Seed",2017,Dalia Ibrahim,12,2,,,,info@nmedventures.com
,Egypt Ventures,https://egyptventures.com,Egypt,Cairo,"Internet & Mobile, Education, Big Data & Analytics, IoT, Marketplace, AI & ML, Productivity, Transportation, Healthcare","Seed, Early Stage, Late Stage",2017,"Mounir Nakhla, Mohamed Aboulnaga.",20,3,,,,info@egyptventures.com
,Element Venture,https://elementventures.vc/,United Kingdom,London,"Fintech, Enterprise, Crypto & Blockchain",Early Stage,2019,Michael Mcfadgen,13,0,,,"£130,000,000",info@elementventures.vc
,Elemental Excelerator,https://elementalexcelerator.com,USA,"Honolulu, Palo Alto","Transportation, Climate & Sustainability, Energy, Agriculture",Early Stage,2012,"Dawn Lippert, Jill Sims",130,20,,,"$60,500,000",hello@elementalexcelerator.com
,Elevate Capital,https://elevate.vc,USA,Hillsboro,"SaaS, Healthcare, Hardware, IoT, Climate & Sustainability, Fintech, Crypto & Blockchain","Seed, Pre-Seed, Series A",2016,Nitin Rai,61,7,"$25,000","$2,000,000","$220,000,000",hello@elevate.vc
,Elevation Capital,https://elevationcapital.com/,"USA, India","Salt Lake City, Bangalore, Gurgaon","Consumer, DTC, Crypto & Blockchain, Enterprise, SaaS, Fintech, Supply Chain & Logistics","Seed, Series A, Series B, Series C",2002,Ravi Adusumalli,250,32,"$2,000,000","$5,000,000","$2,000,000,000",info@elevationcapital.com
,Elevation Partners,https://elevation.com,USA,San Francisco,"Media, SaaS","Early Stage, Late Stage, Seed, Private Equity",2005,"Bret Pearlman, Fred Anderson, Marc Bodnick, Paul Hewson, Roger Mcnamee",20,13,"$25,000,000","$300,000,000",,info@elevation.com
,Elevator Ventures,https://elevator-ventures.com,"Austria, Russia, Hungary, Serbia, Bulgaria, Albania, Croatia, Ukraine, Slovakia, Romania","Vienna, Tuzla","Fintech, E-Commerce, SaaS, Infrastructure, Agriculture","Series A, Series B",2018,"Hannes Cizek, Maximilian Schausberger",14,3,,"€3,000,000",,office@elevator-ventures.com
,Emerald Technology Ventures,https://emerald-ventures.com,"Switzerland, Canada, Singapore","Zürich, Toronto, Singapore","Industrial, Agriculture, Energy","Early Stage, Late Stage, Seed, Series A, Series B",2000,Gina Domanig,60,9,"$10,000,000","$20,000,000","$340,700,000",info@emerald-ventures.com
,Emergence Capital,https://www.emcap.com/,USA,"San Mateo, San Francisco","Consumer, Internet & Mobile, Enterprise, AI & ML, Cloud, Future of Work, SaaS","Late Stage, Series A",2003,Gordon Ritter,285,78,,,"$575,000,000",hello@emcap.com
,EmergeVest HK Ltd.,https://emergevest.com/,"China, Singapore, United Kingdom, USA","Hong Kong, Singapore, Aylesbury, Cayman Island","Fintech, Enterprise",Early Stage,2013,Heath Zarin,28,8,"$500,000","$2,000,000","$750,000,000",info@emergevest.com
,Emil Capital Partners,https://emilcapital.com,USA,Greenwich,"Health & Wellness, Education, Consumer, DTC, Food & Beverage","Early Stage, Seed",2009,Andreas Guldin,41,8,"$500,000","$3,000,000",,info@emilcapitalpartners.com
,Endeavour Vision,https://endeavourvision.com,"Switzerland, USA","Geneva, Minneapolis","Health & Wellness, Healthcare","Early Stage, Late Stage",2000,"Bernard Vogel, Damien Tappy, Sven Lingjaerde",125,78,"$10,000,000","$30,000,000","$810,000,000",+41 22 544 6000
,Endeit Capital BV,https://endeit.com/,"Sweden, Netherlands, Germany","Hamburg, Stockholm, Amsterdam","Internet & Mobile, AI & ML",Growth,2006,Hubert Deitmers,47,28,"€5,000,000","€5,000,000","€303,000,000",info@endeit.se
,Endiya,https://endiya.com,India,"Bangalore, Hyderābād","Healthcare, Deep Tech & Hard Science, Fintech, SaaS, Life Sciences, Consumer, Internet & Mobile, AI & ML, Crypto & Blockchain, Cybersecurity, Education","Series A, Seed",2015,Sateesh Andra,49,5,"$500,000","$1,500,000","$39,000,000",contact@endiya.com
,Endure Capital,https://endurecap.com,"Egypt, Netherlands, USA, United Arab Emirates","Cairo, Amsterdam, Palo Alto, Dubai","Healthcare, E-Commerce, Marketplace, SaaS","Early Stage, Seed",2015,Tarek Fahim,46,4,,"$14,000,000","$80,000,000",contact@endurecap.com
,Eniac Ventures,https://eniac.vc,USA,New York,"Enterprise, Consumer, Deep Tech & Hard Science, Fintech, Healthcare, Crypto & Blockchain, Climate & Sustainability","Early Stage, Seed",2009,"Hadley Harris, Nihal Mehta, Tim Young, Vic Singh",244,53,"$350,000","$3,000,000","$300,400,000",
,Enterprise Equity Venture Capital Group,https://www.enterpriseequity.ie/,Ireland,"Dublin, Cork","Media, Healthcare",Early Stage,1987,Dan Flinter,88,18,,"€2,000,000",,info@enterpriseequity.ie
,Enterprise Ireland,https://enterprise-ireland.com,"Ireland, Germany, Hungary, Denmark, France, Netherlands, Italy, Sweden, Spain, Czechia, United Kingdom, Belgium, Poland, Brazil, USA, Canada, United Arab Emirates, Australia, China, Japan, Singapore, Vietnam, India, South Korea, Saudi Arabia, Nigeria, South Africa, Kenya","Dublin, Düsseldorf, Budapest, Paris, Amsterdam, Milan, Stockholm, Madrid, Prague, London, Brussels, Warsaw, São Paulo, Austin, Toronto, New York, Dubai, Sydney, Hong Kong, Tokyo, Singapore, Ho Chi Minh City, Beijing, Mumbai, Seoul, Riyadh, Lagos, Johannesburg, Nairobi, Shannon, København","Life Sciences, Industrial","Pre-Seed, Seed, Series A, Series B, Series C",1998,,686,78,,"€50,000","€216,100,000",equitydept@enterprise-ireland.com
,Entrepreneurs Roundtable Accelerator,https://eranyc.com,USA,New York,"Enterprise, Consumer, Internet & Mobile, Fintech, SaaS, E-Commerce, Healthcare, Education, Proptech & Real Estate, Supply Chain & Logistics, IoT, Media, Marketing",Seed,2011,"Charlie Kemper, Jonathan Axelrod, Murat Aktihanoglu",330,31,"$100,000",,"$1,000,000,000",
,Eos Venture Partners,https://eosventurepartners.com,"United Kingdom, USA","London, New York, Los Angeles, Philadelphia","InsurTech, Cybersecurity, Fintech",Series A,2016,"Carl G. Bauer-Schlichtegroll, Sam Evans, Jonathan Kalman, Zack Powell",20,1,"$8,000,000","$12,000,000","$85,000,000",connect@eosventurepartners.com
,EQ2 Ventures,https://eq2ventures.com,United Arab Emirates,Dubai,"Advertising, E-Commerce, Fintech, Healthcare, Education, Marketplace","Seed, Series A, Series B",2015,Patrick Thiriet,32,1,,,"$5,100,000",info@eq2ventures.com
,EQT Ventures,https://eqtventures.com,"USA, France, Germany, United Kingdom, Sweden","San Francisco, Paris, Berlin, London, Stockholm","Cybersecurity, Biotech, Social, Media, E-Commerce, AR & VR, AI & ML, Fintech, Gaming, Internet & Mobile, Developer Tools, Manufacturing, Automative, SaaS","Late Stage, Early Stage",2016,"Hjalmar Winbladh, Kees Koolen, Lars Jörnow",153,13,"€2,000,000","€50,000,000","€1,400,000,000",hello@eqtventures.com
,ESP Capital,https://espcapital.net,"Vietnam, USA, Singapore","Ho Chi Minh City, Dover, Singapore","Proptech & Real Estate, Healthcare, Education, DTC, Transportation, Travel & Hospitality, Entertainment",Early Stage,2017,Nam Nguyen,14,2,,,"$1,500,000",contact@espcapital.net
,Eurazeo,https://www.eurazeo.com/en/businesses/private-equity/venture-capital,"USA, Brazil, United Kingdom, Spain, France, Luxembourg, Germany, Italy, Singapore, China, South Korea","New York, São Paulo, London, Madrid, Paris, Luxembourg, Frankfurt, Milan, Berlin, Singapore, Shanghai, Seoul","DTC, Cloud, Climate & Sustainability, Consumer, Enterprise, Healthcare, Fintech, Food & Beverage, Internet & Mobile, Industrial, Travel & Hospitality, Life Sciences, Proptech & Real Estate, Advertising, Marketing, SaaS","Early Stage, Series C, Seed, Series A, Series B",2001,"Michel David-Weill, Virginie Morgon",220,50,,,"€3,250,000,000",accueil@eurazeo.com
,Evolution Equity Partners,https://evolutionequity.com,"USA, Switzerland","New York, Palo Alto, Zürich","SaaS, Cybersecurity, Enterprise, AI & ML, Internet & Mobile, Social, Cloud","Seed, Early Stage, Late Stage, Series A, Series B, Growth",2008,"Richard Seewald, Dennis Smith",60,12,"$2,000,000","$10,000,000","$400,000,000",info@evolutionequity.com
,Exor,https://www.exor.com/,USA,New York,"AI & ML, Education, Travel & Hospitality, SaaS, Fintech, DTC","Seed, Pre-Seed",2018,Diego Piacentini,9,0,"$150,000",,,
,Expara Ventures,https://www.expara.com/,"Thailand, Vietnam","Bangkok, Ho Chi Minh City","Food & Beverage, IoT, E-Commerce, Healthcare, Travel & Hospitality, Social, Marketplace, Government Technology, Cloud, Proptech & Real Estate, Fintech, AI & ML, Health & Wellness, Gaming, Climate & Sustainability, Education, Hardware, Biotech, API, SaaS, Media, Agriculture, Drones",Early Stage,2003,Douglas Abrams,77,9,,,,inquiries@expara.com
,Exto Partners,https://extopartners.com/,Australia,Rushcutters Bay,"Education, Industrial, Health & Wellness, Marketplace, Creator Economy, Big Data & Analytics",Late Stage,2003,"Peter Hammond, Wiliam Deane",22,7,,,,info@extopartners.com
,Extreme Venture Partners,https://evp.vc,Canada,Toronto,"Internet & Mobile, Big Data & Analytics, IoT","Seed, Pre-Seed",2007,"Imran Bashir, Ken Teslia, Ray Sharma, Sunil Sharma",72,14,"$250,000","$1,000,000",,submit@extremevp.com
,F-Prime Capital Partners,https://fprimecapital.com/,"United Kingdom, USA","Cambridge, London, San Francisco","Enterprise, Fintech, Healthcare",Early Stage,1969,Stephen Knight Md,466,135,,,"$30,000,000",info@fprimecapital.com
,F2 Capital,https://www.f2vc.com/,Israel,Tel Aviv-Yafo,"Deep Tech & Hard Science, AI & ML, Cybersecurity, Fintech, InsurTech, Big Data & Analytics",Seed,2016,Eddy Shalev,24,7,,"$4,000,000","$250,000,000",contact@f2vc.com
,Faber Ventures,https://www.faber-ventures.com/,Portugal,Lisbon,"AI & ML, Big Data & Analytics, Climate & Sustainability, Crypto & Blockchain, Deep Tech & Hard Science","Early Stage, Seed, Pre-Seed",2013,"Alexandre Barbosa, Diogo Mónica",36,,"€100,000","€1,500,000",,pitch@faber.vc
,Fabric Ventures,https://fabric.vc,"Luxembourg, United Kingdom","Luxembourg, London","Crypto & Blockchain, Fintech, Media, Healthcare, Developer Tools, Internet & Mobile, Education, Future of Work","Seed, Pre-Seed, Series A",2012,Anil Hansjee,71,11,"$30,000,000",,"$140,000,000",info@fabric.vc
,Fast Track Venture,http://fast-track.asia/,South Korea,Seoul,"Education, Food & Beverage, Proptech & Real Estate, DTC, Consumer, Supply Chain & Logistics",Seed,2012,"Jiwoong Park, Daniel Shin, Chester Roh",10,1,,,"$11,000,000",sol@fast-track.asia
,Fastbreak Ventures,https://fastbreak.co,Canada,Toronto,"Proptech & Real Estate, Healthcare, Fintech","Pre-Seed, Seed",2013,"Matt Saunders, Alan Lysne",41,8,,,"$6,000,000",
,Felix Capital,https://felixcap.com,United Kingdom,London,"Marketplace, DTC, Consumer, Health & Wellness, Sports","Early Stage, Late Stage",2014,"Antoine Nussenbaum, Frederic Court",97,7,"£1,000,000","£10,000,000","£1,200,000,000",info@felixcap.com
,Female Founders Fund,https://femalefoundersfund.com/,USA,New York,"Enterprise, Consumer, Healthcare, Fintech",Seed,2013,Anu Duggal,61,13,"$500,000","$750,000",,hello@femalefoundersfund.com
,Fenbushi Capital,https://www.fenbushicapital.vc/index_en.html,"USA, China, Singapore","Shanghai, Singapore, New York, San Francisco","Crypto & Blockchain, Healthcare, Supply Chain & Logistics, DTC, Fintech","Seed, Early Stage",2015,Bo Shen,186,18,"$100,000","$3,000,000","$15,000,000",contact@fenbushi.vc
,ff Venture Capital,https://ffvc.com,USA,New York,"Cybersecurity, AI & ML, Cloud, Enterprise, Fintech, Education, Consumer, Big Data & Analytics, Robotics, E-Commerce, Gaming, SaaS","Early Stage, Seed, Series A, Series B, Debt",2008,"John Frankel, Mariusz Adamski",355,28,"$300,000","$700,000","$289,100,000",office@ffvc.com
,Fidelity Ventures,https://fisv.com/,United Kingdom,London,"Enterprise, API, SaaS, Crypto & Blockchain, Developer Tools, InsurTech","Early Stage, Late Stage",1969,Ramin Nia,111,44,,,"£250,000,000",ventures@fidelityventures.com
,Fifty Years,https://fiftyyears.com,USA,San Francisco,"Deep Tech & Hard Science, Healthcare, Hardware, Robotics, Climate & Sustainability, SaaS, Crypto & Blockchain","Pre-Seed, Seed",2015,"Ela Madej, Seth Bannon",117,5,,,"$140,000,000",hello@fifty.vc
,Finch,https://www.finchcapital.com/,Netherlands,Amsterdam,"Fintech, InsurTech, Proptech & Real Estate, Healthcare",Seed,2013,"Hans de Back, Radboud Vlaar",59,5,"€2,000,000","€10,000,000","€300,000,000",info@finchcapital.com
,Finlab,https://finlab.de/en/index,Germany,Frankfurt,"Crypto & Blockchain, Fintech","Early Stage, Seed",2005,Christian Angermayer,26,6,,"€3,000,000",,info@finlab.de
,Finnvera,https://finnvera.fi,Finland,Kuopio,"Healthcare, Productivity, Entertainment, Fintech",Early Stage,1999,Mika Johansson,23,23,,,,
,First Momentum Ventures,https://firstmomentum.vc,Germany,Karlsruhe,"Enterprise, AI & ML, Cloud, API, SaaS, Marketplace","Pre-Seed, Seed, Early Stage",2015,"Alexander Kaiser, Andreas Fischer, Benedikt Stolz, Karl Lorey, Sebastian Bohmer",31,,"€250,000","€1,000,000","€250,000,000",founders@firstmomentum.vc
