Accelerator / Incubator,Website,Country,City,Industries,Founders,Founded Date,Number of Investments,Number of Exits
StartupFon,https://www.startupfon.com/,Turkey,Istanbul,"AI, Education, FinTech, HRtech, IoT, Metaverse, RetailTech, Robotics",Gülsüm Çıracı,2016,24,1
Yellow,https://www.yellowla.com/,United States,Los Angeles,"Education, Commerce, Health, Fitness, Entertainment, Games",,,24,1
Luminate,https://luminate.org/,United States,Rochester,"Biophotonics, Camera Technologies, Energy, Healthcare",,2017,24,
Inco,https://www.inco.co.com/,France,Paris,Industry Agnostic,"Nicolas Hazard, Sandy Khan",2010,24,
Ecofuel,https://fondsecofuel.ca/,Canada,Montréal,Cleantech,Andrée-Lise Méthot,2014,23,
MiLA Capital,http://www.mila.vc,United States,Los Angeles,Technology,"Noramay Cadena, Shaun Arora",2015,23,
Motus Ventures,http://www.motusventures.com/,United States,Redwood City,"Transportation, Internet",Robert Seidl,2012,23,3
The Holt Xchange,https://holtxchange.com/,Canada,Montréal,FinTech,,2018,23,
CyRise,https://www.cyrise.co/#,Australia,Melbourne,Cyber Security,,2017,23,
GRID EXPONENTIAL,http://www.gridexponential.com,Argentina,Buenos Aires,"Agriculture, Healthcare, Energy",Matias Peire,2014,23,
UNICEF StartUp Lab,https://unicefstartuplab.org/,Ghana,Accra,"Social, Technology",,,23,
Spring Camp,http://springcamp.co,South Korea,Seoul,Industry Agnostic,,,23,
Walerud Ventures,http://www.walerud.com,Sweden,Stockholm,"High Tech, DeepTech, Impact Tech","Bengt Walerud, Caroline Walerud, Jane Walerud",2002,23,8
Huckletree Alpha Programme London,https://www.huckletree.com/alpha,United Kingdom,London,"HealthTech, EdTech, Parenttech","Andrew Lynch, Gabriela Hersham",2014,23,1
The Junction,https://www.f2vc.com/thejunction,Israel,Tel Aviv,Industry Agnostic,"Barak Rabinowitz, Jonathan Saacks",2011,22,7
Cleveland Avenue,http://www.clevelandavenue.com/,United States,Chicago,"FoodTech, Technology","Don Thompson, J. Skyler Fernandes",2015,22,1
HubSpot Ventures,https://www.hubspot.com/ventures,,,"SaaS, Analytics, Software, Marketing Automation","Brian Halligan, Dharmesh Shah",,22,4
Travel Startups Incubator,http://www.travelstartups.co,United States,Orlando,Travel Tech,"Matt Zito, Nicole Zito",2014,22,3
Iterative,https://iterative.vc/,Singapore,Singapore,Industry Agnostic,"Brian Ma, Hsu Han Ooi, Hsu Ken Ooi",2018,22,
Sparklabs Cultiv8,https://www.sparklabscultiv8.com/,Australia,Orange,"Agriculture, Food Products, AgTech, FoodTech",,2017,22,
The FIS Fintech Accelerator in Partnership with The Venture Center,https://www.venturecenter.co,United States,Little Rock,FinTech,,2015,22,3
PeaceTech Accelerator,https://www.peacetechlab.org/peacetech-accelerator,United States,Washington,Technology,Andre Pienaar,2017,22,1
KohFounders,http://kohfounders.com/,United States,Los Angeles,"Healthcare Tech, Ed Tech, Climate Tech, AgTech, Fin Tech, Prop Tech, Frontier Tech",Bong Koh,2013,22,10
Cox Enterprises Social Impact Accelerator powered by Techstars,https://www.techstars.com/accelerators/cox-social-impact,United States,Atlanta,Impact,,,22,
Carbon Trust,https://carbontrust.com,United Kingdom,London,"Cleantech, Energy, Climate",,2001,22,5
The Pearse Lyons Accelerator,https://pearselyonsaccelerator.com,Ireland,Dublin,"Nutrigenomics, Nutritional Sciences, Robots, Sensors, 3D Printing, AI, Gene Editingr, Ag-Science",,2017,22,1
Techstars Smart Mobility,https://www.techstars.com/programs/smart-mobility-program/,Italy,Turin,"Mobility, Sustainability, DeepTech, Logistics, EdTec",,,22,
iDealMachine,http://www.idealmachine.ru,Russia,Saint Petersburg,"Ecommerce, Mobile, High Tech, Robotics, AI","Michael Averbach, Sergey Fradkov",2012,22,
Startupbootcamp Istanbul,https://www.startupbootcamp.org/accelerator/istanbul/,Turkey,Istanbul,Industry Agnostic,,2013,22,
Exnetwork Capital,https://exnetworkcapital.com/,,,"Cryptocurrency, Blockchain",Eric Su,,21,
InQlab,http://InQlab.co,Colombia,Bogotá,Technology,,2013,21,
RGAx,http://www.rgax.com,United States,Chesterfield,"Software, FinTech",,2015,21,3
GENIUS NY,http://www.geniusny.com/,United States,Syracuse,Technology,,2016,21,
Genesis Centre,http://www.genesiscentre.ca/,Canada,St. John'S,"Technology, Oil, Gas",,1997,21,
OXO Labs Ltd.,http://oxolabs.eu/,Hungary,Budapest,"Cyber Security, Sporttech, Esport, Egaming, Leisure, Tourism","Bence Makai, Dávid Pongrác, Peter Oszko, Zoltan Katay",2014,21,
Startup Campus,http://startupcampus.hu/en/,United Kingdom,London,"Sporttech, Fashion, Design, Automotive, Sport, Tourism, Gastronomy, Hardware",,2015,21,
BERRIUP,http://www.berriup.com/,Spain,Donostia-San Sebastián,Industry Agnostic,"Alvaro Bilbao, Gabriel Benguría, Pablo Ayala, Pedro Muñoz-Baroja",2015,21,
Day One Entrepreneurs & Partners,https://www.dayonepartners.com,France,Paris,Industry Agnostic,,2012,21,1
Startupbootcamp Digital Health Berlin,https://www.startupbootcamp.org/accelerator/digital-health-berlin/,Germany,Berlin,"FoodTech, IoT, FinTech",,2016,21,
Potential VC,http://potential.vc/,United Kingdom,London,Industry Agnostic,YC Ng,2015,21,3
Discover PreAccelerator,http://bongohive.co.zm/startup-programmes/discover/,Zambia,Lusaka,"Gaming, Robotics",,,21,
Navigate,https://www.navigate.capital/,United States,Miami,Industry Agnostic,"Alexander Miller, Andres Vallejo, Pedro Sostre",2020,20,
Innovate Mississippi / MS Angel Network/ MS Seed Fund,http://innovate.ms/services/investors/,United States,Ridgeland,"Alternative Energy, Technology",,2001,20,
dlab,https://dlab.vc,United States,New York,"Web3, Decentralization, Blockchain","Nick Plante, Sean O'Sullivan, Shawn Broderick",2018,20,
i/o Ventures,http://www.ventures.io,United States,San Francisco,Industry Agnostic,"Jim Young, Paul Bragiel",2010,20,8
Innoventures,https://innoventures.me/,Egypt,Cairo,"Technology, HealthTech","Ahmed Mikkawi, Ashraf El-Sharkawy, Sameh Shaheen",2010,20,
Empowered Startups,https://empoweredstartups.com/,Canada,Vancouver,"EdTech, Healthcare",Amber Allen,2009,20,
Cicada Innovations,https://www.cicadainnovations.com/,Australia,Sydney,DeepTech,Dharmica Mistry,2000,20,2
Accelerate New York Seed Fund,http://www.anyseedfund.com,United States,Melville,"Biotech, Healthcare, Health Diagnostics, Information Technology, Software",,2017,20,
Techstars Starburst Space Accelerator,https://www.techstars.com/programs/starburst-space-program/,United States,Los Angeles,Space,,,20,
Derbi Foundation,http://www.derbifoundation.com/,India,Bangalore,Sustainability Tech,,,20,
Kamet,http://www.kametventures.com,France,Paris,"InsurTech, HealthTech, Mobility",Stephane Guinet,2016,20,2
Cobin Angels,https://www.cobinangels.com,Poland,Warsaw,Technology,Robert Lugowski,2015,20,
StartLife,https://start-life.nl/,The Netherlands,Wageningen,"AgTech, FoodTech",,2010,20,
Siemens Technology Accelerator,http://www.sta.siemens.com/,Germany,Munich,Industry Agnostic,"Christian Wiesinger, Rudolf Freytag",2001,20,3
CREATE-X,https://create-x.gatech.edu/,United States,Atlanta,Industry Agnostic,"Chris Klaus, Raghupathy Sivakumar",2014,19,
Archimedes Labs,https://www.archimedes.studio,United States,Palo Alto,"AR, Blockchain, Cloud Data Services, Cloud, Consumer Software, AI, Mobile","Kambiz Hooshmand, Keith Teare, Kevin Doerr, Michael Arrington",2005,19,3
OCEAN Accelerator,http://www.oceanprograms.com/accelerator/,United States,Cincinnati,Information Technology,"Chad Reynolds, Tim Brunk, Tim Metzner",2014,19,1
Hanse Ventures,http://www.hanseventures.com,Germany,Hamburg,Industry Agnostic,Jochen Maaß,2010,19,2
Eastlabs,http://www.eastlabs.co,Ukraine,Kiev,Enterprise,,2011,19,1
DFS Lab,http://www.dfslab.net/,United States,Seattle,"Ecommerce, FinTech, Logistics, Banking",Jake Kendall,2016,18,
Alpha Wave Incubation,https://alphawaveglobal.com/,,,Industry Agnostic,Rick Gerson,,18,
The Baobab Network,http://thebaobabnetwork.com/,Kenya,Nairobi,Technology,"Toby Hanington, Tom Fairburn",2015,18,1
GBIC,http://gbic.io/,United States,New York,"Blockchain, Digital Assets, Distributed Ledger Technology",Richard Lee,2017,18,1
Grindstone,https://grindstonexl.com/,South Africa,Cape Town,Information Technology,,2013,18,
01booster,https://01booster.com/english,Japan,Tokyo,Industry Agnostic,Norifumi Suzuki,2012,18,
Techstars Iowa Accelerator,https://www.techstars.com/accelerators/iowa,United States,Des Moines,Industry Agnostic,,,18,
WNT Ventures,http://wntventures.co.nz/,New Zealand,Tauranga,"AI, AgTech, Sustainability","Beppie Holm, Carl Jones, Ian MaCrae, Peter Wren-Hilton, Steve Saunders",2014,18,2
GHV Accelerator,http://www.ghvaccelerator.com,India,Gurgaon,Climate Tech,"Anurag Kapoor, Vikram Upadhyaya",2014,18,1
International Centre for Entrepreneurship and Technology,http://icreate.org.in,India,Ahmedabad,"AI, Biotech, Cleantech, Food, Beverages, Renewable Energy, Software, WaterTech, Robotics, EdTech, Legaltech, HealthTech, FinTech",Thyagrajan K.,2011,18,
Amplifi,http://www.amplifi.asia,India,Mumbai,Technology,"Amitava Neogi, Ravi Veeraghanta, Rohinton Bharucha, Sudarshan Narayan, UDay Deshpande",2015,18,
Project Music,http://ec.co/project-music,United States,Nashville,"Music, Entertainment",,,18,1
Gateway,http://www.gtwy.co/,United States,Oakland,Industry Agnostic,"Ben Larson, Carter Laren",2015,18,3
LISY INDY,https://www.lisc.org/indianapolis/,United States,Indianapolis,"Healthcare, Economic Mobility",,,18,
UCI Applied Innovation,http://innovation.uci.edu/,United States,Irvine,Industry Agnostic,Richard Sudek,2014,18,
Blenheim Chalcot,http://www.blenheimchalcot.com,United Kingdom,London,"FinTech, Media, EdTech, Information Technology","Charles Mindenhall, Manoj Badale",1998,18,2
Katapult Ocean,https://katapult.vc/ocean,Norway,Oslo,Technology,"Anders Lier, Haakon Brunell, Maren Hjorth Bauer, Tharald Nustad",2018,18,
Fashion For Good,https://fashionforgood.com/,The Netherlands,Amsterdam,Fashion,,2016,18,1
InnovationRCA,https://www.rca.ac.uk/research-innovation/innovationrca/,United Kingdom,London,"AgTech, MedTech, Cleantech, Construction, Fashion",,,18,
Metxa Accelerator,https://metxa.com/,Spain,Vitoria-Gasteiz,"Construction, Engineering, Logistics, Environment, Fashion, Health, AgriFood, Tourism, Hospitality","Enrique Ranedo, Josetxu Silgo, Laura Unzueta",2015,18,
Massachusetts Institute of Technology,http://web.mit.edu/,United States,Cambridge,Industry Agnostic,"Birago Jones, Chris Caplice, Erastus Brigham Bigelow, Federico Casalegno, Zen Chu",1861,17,1
Atlanta Ventures,http://www.atlantaventures.com/,United States,Atlanta,"SaaS, Technology, Healthcare",David Cummings,2012,17,1
Life Sciences Greenhouse of Pennsylvania,http://www.lsgpa.com,United States,Harrisburg,"Life Science, FinTech",,2002,17,
Kauffman Foundation,http://kauffman.org,United States,Kansas City,Industry Agnostic,Ewing Marion Kauffman,1960,17,3
HIGHROAD,https://highroad.center,Israel,Azor,"Software, Technology","Dov Hoffman, Eliran Binman, Eyal Hoffman, Guy Zaks",2018,17,1
Morgan Stanley Multicultural Innovation Lab,https://www.morganstanley.com/about-us/diversity/multicultural-innovation-lab,United States,New York,"Healthcare, Information Technology, Consumer Goods, Business Products, Services, Cyber Security, Life Sciences",,,17,
Techstars Atlanta in Partnership with Cox Enterprises,https://www.techstars.com/accelerators/atlanta,United States,Atlanta,Industry Agnostic,,,17,1
ParticleX,http://www.particlex.com,Hong Kong,Hong Kong,"AI, IoT, Blockchain, Robotics",Mingles Tsoi,2017,17,
Ideaspring Capital,http://ideaspringcap.com/,India,Bangalore,Information Technology,Naganand Doraswamy,2016,17,2
Global Sports Venture Studio,https://www.globalsportsventurestudio.com/,United States,New York,"Sports, Media, Tech Space","Cole Van Nice, Kyle Bunch, Tucker Kain",2015,17,2
Founders Factory Africa,https://foundersfactory.com/africa/,South Africa,Johannesburg,"Healthcare, Climate, FinTech, Blockchain, Big Data, AI",,2018,17,
Injini,https://www.injini.africa/,South Africa,Cape Town,EdTech,,,17,1
Maine Technology Institute,http://www.mainetechnology.org,United States,Brunswick,"Biotech, Information Technology, Agriculture, Forestry, Advanced Manufacturing, Cleantech",,1999,17,1
CivStart,https://www.civstart.org/,United States,Washington,"Healthcare, Transportation, Civic Tech",,2018,17,1
Iowa Startup Accelerator,http://www.iowastartupaccelerator.com,United States,Cedar Rapids,"EdTech, MedTech, FinTech, AgTech, Consumable, Service","Andy Stoll, Eric Engelmann",2014,17,1
NCA,http://nca.vc,Germany,Hamburg,Commerce,,2017,17,
SEK Lab EdTech Accelerator,http://seklab.es/,Spain,Madrid,EdTech,"Felix Lopez Capel, Jose Luis Malaga Pescador",2015,17,
Going Investment S.A.,http://www.going.es,Spain,Zaragoza,Industry Agnostic,Carlos Oehling,1998,17,11
TechItalia:Lab,http://www.techitalialab.com,United Kingdom,London,"Techonology, Media",,2017,17,
SpeedUP! Europe,http://speedupeurope.eu,Germany,Lübeck,"Cleantech, Smart City, Agriculture",,2014,17,
Intellitext,http://intellitext.hu/,Hungary,Budapest,Industry Agnostic,,,17,
Marwari Catalysts,http://www.marwaricatalysts.com/,India,Jodhpur,Industry Agnostic,"Devesh Rakhecha, Dharamveer Chauhan, Lalit Mangal, Nitin Sethi, Raunak Singhvi, Sushil Sharma",2019,16,2
Alphacap Berhad,http://www.alphacapberhad.com,Malaysia,Puchong,"Technology, Life Science, Social Media, Fashion","Jeh Shyan Wong, Jeh Shyan Wong, Rayson Wong",2016,16,
Kairos,https://kairoshq.com/,United States,New York,Healthcare,"Alex Fiance, Ankur Jain, Zoe Oz",2017,16,
Nest,http://nest.vc,Hong Kong,Sheung Wan,"FinTech, HealthTech, Smart Cities","Lawrence Morgan, Simon Squibb",2010,16,
ShelterTech,https://www.habitat.org/sheltertech,United States,Atlanta,Real Estate,,2017,16,1
COLABORATIVOx,https://www.colaborativo.com.mx,United States,San Francisco,Technology,Alfredo Montoya,2012,16,1
Innovate BC,https://www.innovatebc.ca/,Canada,Vancouver,"Enterprise, FinTech",,2004,16,
Embarca Ventures,http://www.embarca.tech,Argentina,Mendoza,"Blockchain, EdTech, InsurTech","Belen Fernandez, Gonzalo Innocenti, Valentina Terranova",2018,16,
HealthStart,http://www.healthstart.co.in,India,Noida,HealthTech,Pradeep K Jaisingh,2014,16,1
StartLabs,http://www.startlabs.co,United States,San Francisco,Industry Agnostic,,2013,16,
Cultivator,https://www.cultivator.ca/,Canada,Regina,AgTech,,,16,
West Health Investment Fund,http://www.westhealthfund.com,United States,La Jolla,Healthcare,,2009,16,4
KOISRA Seed Partners,http://www.koisraseedpartners.com/,South Korea,Seoul,"Mobile, Cyber Security, Internet, IoT, Robotics, Medical, Ecommerce, Telecommunications","Aviram Jenik, Eyal Victor Mamou",2014,16,
Zinc.VC,http://www.zinc.vc/,United Kingdom,London,"Health, Environment","Ella Goldner, Kim van Haalen, Paul Kirby, Saul Klein, Vivien de Tusch-Lec",2017,16,
Zee Prime Capital,https://zeeprime.capital/,Slovakia,Bratislava,"AI, Blockchain, Cryptocurrency, Defi, Software, Financial Services, Advertising, Web3",,2019,16,1
Blockchers,https://www.blockchers.eu,Spain,Pamplona,"Energy, Health, AgriFood",Miguel García,2019,16,
UP21,http://up21.com,Czech Republic,Prague,Industry Agnostic,Vítek Šubert,2016,16,
VentureVilla Accelerator,http://www.venture-villa.de,Germany,Hanover,Technology,"Nadine Ringsdorff, Sven Klose",2016,16,
Acelera Región,https://www.ccc.org.co/landing/acelera/,Colombia,Cali,Industry Agnostic,,,16,
Exponential Impact,https://exponentialimpact.com,United States,Colorado Springs,"Cyber Security, AI, Blockchain",Vance F. Brown,2017,15,
AI Fund,https://aifund.ai/,United States,Palo Alto,"Consumer Goods, Consumer Services, Information Technology, Healthcare, AI",Andrew Ng,2017,15,
VoLo Earth Ventures,https://www.voloearth.com/,United States,Snowmass Village,"Energy Tech, Environment Tech, Climate Tech","Christopher Tullar, Eric Riesenberg, Joseph Goodman, Kareem Dabbagh, Robert Harding",2020,15,
The Kitchen - FoodTech Hub,http://www.thekitchenhub.com,Israel,Ashdod,"Alternative Proteins, Food Safety, Food",,2015,15,1
BIRD Energy,https://www.birdf.com/what-is-bird-energy/,Israel,Tel Aviv,"Agriculture, Communications, Construction Technologies, Electronics, Electro-Optics, Life Sciences, Software, Security, Renewables, Alternative Energy",,,15,2
New Ventures BC,http://www.newventuresbc.com,Canada,Vancouver,Technology,,2001,15,1
Vermont Center for Emerging Technologies,https://vcet.co,United States,Burlington,"Life Sciences, Biotech, Renewable Energy, Cyber Security, IoT, Consumer Goods, FinTech, AgTech, AI, Aerospace, Aviation, New Mobility, Consumer Media, Commerce, Medical Devices, HealthTech",,2005,15,2
REALITY ACCELERATOR,http://reality.vc/,Japan,Tokyo,Industry Agnostic,Yuichi Kori,2017,15,
i5invest,http://www.i5invest.com,Austria,Vienna,Industry Agnostic,Markus Wagner,2007,15,6
RElab,http://relab.tech/,United Kingdom,London,"Sustainability, Supply Chain, Technology",,,15,
Nextury Ventures,http://www.nextury.com,Lithuania,Vilnius,"FinTech, Proptech, Mobile, Ecommerce, Wearables",,2013,15,
BANGSHI CAPITAL,https://www.vcchina.com/,China,Hangzhou,"Education, Design, Medicine, Vertical Industry",,,15,
Startupbootcamp Fintech Mexico City,https://www.startupbootcamp.org/accelerator/fintech-mexico-city/,Mexico,Mexico City,FinTech,,,15,2
The Yield Lab Europe,https://yieldlab.ie/,Ireland,Dublin,"Agri Food, AgTech",,2017,14,2
The Workers Lab,http://theworkerslab.com,United States,Oakland,Industry Agnostic,,2014,14,
Incubate Fund India,https://www.incubatefund.in/,India,Bangalore,Industry Agnostic,Nao Murakami,2016,14,
StartupXseed Ventures,http://startupxseed.in/,India,Bangalore,"Cyber Security, Semiconductors, IoT, Robotics, Drones, AR, AI, Space","B. V. Naidu, Mohandas Pai, Ravi Thakur, V. Ramakrishna",2015,14,1
Rainmatter Capital,https://rainmatter.com/,India,Bangalore,FinTech,,,14,
Branded Hospitality Ventures,http://brandedventures.co,United States,New York,"Hospitality, Technology","Dean Palin, James Frischling, Jeff Mann, Michael Schatzberg",2019,14,
Tony Elumelu Foundation,http://www.tonyelumelufoundation.org/,Nigeria,Lagos,Industry Agnostic,Tony Elumelu,2010,14,
42 Ventures,http://www.42ventures.com,United States,Salt Lake City,"Technology, Cloud",Ned Stringham,2006,14,9
70Ventures,https://www.70v.com,Lithuania,Vilnius,B2B,"Gytenis Galkis, Jean-Baptiste Daguene, Per Møller",2019,14,
imec.xpand,http://www.imecxpand.com,Belgium,Leuven,Nanotechnology,,,14,
Crosspring,https://crosspring.com/,The Netherlands,Zoetermeer,"FinTech, AI, SaaS, Cyber Security, AgTech, AR, VR, Food",Maurice Beckand Verwee,2006,14,1
Recruitment Entrepreneur,https://www.recruitmententrepreneur.com,United Kingdom,London,Industry Agnostic,,2014,14,
LEAD,http://lead.se/,Sweden,Linköping,Technology,,2002,14,
Grocery Accelerator,http://groceryaccelerator.co.uk/,United Kingdom,London,"Retail, Food, Drink","Paddy Willis, Rob Ward, Simon Lacey",2014,14,
Communitech,http://www.communitech.ca,Canada,Kitchener,Technology,"Danielle Graham, Tom Jenkins",1997,13,2
Polymath Ventures,http://www.polymathv.com,Colombia,Bogotá,"Mobility, FinTech, Ecommerce, HealthTech, SaaS","Carlos Fernandez de la Pradilla, Wenyi Cai",2011,13,
EFG EV Fintech,https://www.efgev.com,Egypt,Cairo,"FinTech, InsurTech",Shehab Marzban,2018,13,
Techstars Alabama Power EnergyTech Accelerator,https://www.techstars.com/accelerators/alabama-power,United States,Birmingham,"Climate Tech, Cleantech, Energy",,,13,
LAB Miami Ventures,https://labventures.co,United States,Miami,"Real Estate, Construction, Technology",,2016,13,
Next 10 Ventures,https://www.next10ventures.com,United States,Los Angeles,Industry Agnostic,Benjamin Grubbs,2018,13,1
Leap Venture Studio,https://www.leapventurestudio.com/,United States,Los Angeles,Pet Care Industry,,2018,13,1
Silicon Catalyst,http://siliconcatalyst.com,United States,Santa Clara,"Transportation, Utilities, Energy Services",Rick Lazansky,2014,13,
Lamp Post Group,http://www.lamppostgroup.com,United States,Chattanooga,Technology,"Barry Large, Jack Studer, Miller Welborn, Shelley Prevost, Ted Alling",2010,13,2
NextFab,http://nextfab.com/,United States,Philadelphia,"Cleantech, Medical Devices, AgTech, IoT Wearables, Robotics",Evan D. Malone,2009,13,1
Startupbootcamp Cape Town,https://www.startupbootcamp.org/accelerator/cape-town/,South Africa,Cape Town,"Blockchain, Analytics, Ecommerce, Insurance",Zachariah George,,13,
Magna Investment,https://mgni.co.kr/,South Korea,Seoul,"Healthcare, Biotech",,,13,
AlphaLab Gear,http://alphalabgear.org,United States,Pittsburgh,Hardware,Josh McElhattan,2013,13,2
Tigerlabs,http://www.tigerlabs.co,United States,Princeton,"SaaS, Financial Technology, Educational Technology, Digital Media, Advertising Technology",,2011,13,2
Startupbootcamp Australia,https://www.startupbootcamp.com.au,Australia,Melbourne,"Energy, FinTech, Sports, Eventtech, FoodTech",,2018,13,
RSV Venture Partners,http://www.rsvcapital.com,United States,New York,Technology,,,13,
New Orleans BioFund,https://neworleansbio.com/biofund/,United States,New Orleans,"HealthTech, Environmental, Health, Therapeutics",,2013,13,
Lumos Accelerator,http://lumosinnovation.com/,United States,Columbus,"Business Productivity Software, FoodTech, Healthcare, Media, Information","Alex Picazo, Alex Purtell, Lacey Picazo, Matt Armstead, Maxwell Lipnick, Nick Davis, Todd Whittington",2016,13,
Coinsilium Group,https://coinsilium.com/,United Kingdom,London,"FinTech, Blockchain","Cameron Parry, Eddy Travia, Hakim Mamoni, Malcolm Pallé",2014,13,2
imec.istart,https://www.imecistart.com/en,Belgium,Gent,"Software, Hardware, DeepTech, Shallowtech",,2011,13,
MKB Fintechlab,https://www.fintechlab.hu/,Hungary,Budapest,"FinTech, AI, Cyber Security",Janos Pereczes,2016,13,
Hangar 51,http://www.hangar51.com/,United Kingdom,London,"FinTech, AI, SaaS, Cyber Security, AgTech, AR, VR, Food",Glenn Morgan,2015,13,1
IKEA Bootcamp,http://ikeabootcamp.rainmaking.io/,Sweden,Älmhult,"Retail, Food Innovation, Analytics, Design, Technology, Sustainability",,2017,13,1
IQbility,http://www.iqbility.com,Greece,Kallithéa,"Information Technology, Renewable Energy, Delivery Service",,2013,13,
Boox,http://www.boox.it,Italy,Milan,"Ecommerce, SaaS","Andrea Di Camillo, Marco Magnocavallo",2011,13,4
StartupHighway,http://startuphighway.com,Lithuania,Vilnius,Industry Agnostic,"Darius Zakaitis, Martynas Nikolajevas, Rokas Tamošiūnas",2011,13,1
Marathon Ventures,https://www.marathonvc.com/,Colombia,Bogotá,"SaaS, FinTech","Alejandro Echavarria, Leon Papu",2019,12,
Future Labs,http://futurelabs.nyc/,United States,New York,"AI, Cleantech, Consumer, Cyber Security, Data, Cloud, Education, Enterprise, SaaS, Fashion, FinTech, Hardware, Healthcare, Marketplaces, Mobility",Steven Kuyan,2009,12,
Conscious Venture Lab,http://www.consciousventurelab.com,United States,Baltimore,"Cyber Security, Biotech, Technology, Hospitality, Consumer Goods, Mobile, Games","Jeffrey Cherry, Zach Gottlieb",2013,12,
"Techstars Sustainability, in partnership with The Nature Conservancy",https://www.techstars.com/programs/sustainability-program/,United States,Denver,"Impact, Sustainability",,2006,12,
VIVE X,https://www.vive.com/us/vivex/,United States,San Francisco,"Helthtec, Electronics, Entertainment, VR","Alvin Wang Graylin, Cher Wang, Marc Metis, Raymond Pao",2016,12,
Hult Prize Foundation,https://www.hultprize.org/,United States,San Francisco,EdTech,Ahmad Ashkar,2010,12,
IdeaSpace Foundation,http://ideaspacefoundation.org/,Philippines,Makati,Technology,Earl Valencia,2012,12,
SunBridge,http://www.sunbridge.com,Japan,Shibuya,"Information Technology, Software",Allen Miner,2012,12,3
Upaya Social Ventures,http://www.upayasv.org/,United States,Seattle,"Food, Agriculture, Climate, Impact",,2011,12,
The Tornante Company,http://www.tornante.com,United States,California City,"Media, Entertainment",Michael Eisner,2005,12,2
Womena,https://womena.com/,United Arab Emirates,Dubai,"Ecommerce, SaaS, Technology, Software, Consumer, Internet, Information Technology","Chantalle Dumonceaux, Elissa Freiha",2014,12,1
Thrive by SVG Ventures,https://thriveagrifood.com/,United States,Los Gatos,"Food, Agriculture",John Hartnett,2014,12,
Sproutx,https://www.sproutx.com.au/,Australia,Melbourne,"AgTech, FoodTech, SaaS, FinTech",Sam Trethewey,2016,12,
thinQbate,http://www.thinqbate.com,India,Mumbai,"FinTech, HealthTech, Sportstech, EdTech","Arjun Madhavan, Pranav Marwah, Vidur Marwah",2016,12,1
Blue Ridge Foundation,http://brfny.org/,United States,Brooklyn,Social Technology,John Griffin,2000,12,
AC Accelerator,http://www.acjsq.com/,China,Beijing,"AI, Big Data, Enterprise Services","Luozhu Jin, Tong Wang, Yong Xu, Yuliang Tong",2015,12,
Startupbootcamp Smart City Dubai,https://www.startupbootcamp.org/accelerator/smart-city-dubai/,United Arab Emirates,Dubai,"IoT, Urban Automation Mobility, AI, Blockchain, Open City Data, Sustainable Cities, Smart Government, RetailTech",,,12,1
HUB612,https://www.hub612.com/,France,Lyon,"FinTech, InsurTech, B2B",,2016,12,
TheFactory,http://www.thefactory.no,Norway,Oslo,"FinTech, Proptech, Retail, SaaS, Social Impact",Ingar S. Bentsen,2016,12,
Huddle,http://huddle.work/,India,Haryana,"HealthTech, Enterprise, Climate Tech, Consumer, D2C","Ishaan Khosla, Rakesh Bhatia",2017,11,
Draper Goren Holm,https://drapergorenholm.com/,United States,Westlake Village,"Blockchain, Web3, Defi","Alon Goren, Josef Holm",2018,11,
Pioneer Square Labs,https://psl.com,United States,Seattle,Technology,"Ben Gilbert, Geoff Entress, Greg Gottesman, Julie Sandler, Mike Galgon",2015,11,1
Capria Ventures,http://www.capria.vc/,United States,Seattle,Technology,"Dave Richards, David Riley, Jack Knellinger, Will Poole",2015,11,
Victory Square,https://victorysquare.com/,Canada,Vancouver,"HealthTech, Gaming, Web3, VR, AR, Climate Tech","Ray Walia, Shafin Diamond Tejani",2015,11,1
Fusion,https://www.fusion-vc.com/,United States,Santa Monica,Industry Agnostic,"Guy Katsovich, Yair Vardi",2017,11,1
Awesome Ventures,http://www.awesome-v.com/,South Korea,Mapo,"Blockchain, Media, FinTech, Finance, EdTech",,2017,11,
Westlake Village BioPartners,http://westlakebio.com/,United States,Westlake Village,"Pharmaceutical, Life Science, Biotech",Beth Seidenberg,2018,11,
SteelBridge Laboratories,https://steelbridgelabs.com/,United States,Pittsburgh,"Software, Technology","James Haluszczak, Luis Burgos, Tim Haluszczak, Todd Haring",2016,11,1
ideaTree Inc.,http://www.ideaTree.com,United States,West Hollywood,"Social Media, Ecommerce, Sports, Marketplaces, Travel, Online Dating",Siddharth Arora,2012,11,
ThinkZone Ventures,http://thinkzone.vn,Vietnam,Hanoi,"Retail, Software, Advertisement Technology, Marketing, FinTech, Ecommerce, Food",Do Bui,2019,11,
Parallel18,http://www.parallel18.com/,Puerto Rico,San Juan,Industry Agnostic,Lucas Arzola,2015,11,
Squared Circles,http://www.squaredcircles.com,United States,New York,Industry Agnostic,"Alexander Gilkes, Lukas Derksen, Osman Khan",2020,11,
1337 Ventures,http://www.1337accelerator.com/,Malaysia,Kuala Lumpur,Industry Agnostic,Bikesh Lakhmichand,2013,11,
Highline Beta,http://www.highlinebeta.com/,Canada,Toronto,"Insurance Tech, Health, FinTech, Retail, Consumer Packaged Goods, FoodTech, Media, Entertainment","Benjamin Yoskovitz, Marcus Daniels",2016,11,
Dcode,https://dcode.co/work/technology/,United States,Washington,Technology,Meagan Metzger,2015,11,
